,Song Rank,Song Title,Song Artist,Song Year
0,"
1
","
Harlem Shake
","

Baauer

",2013
1,"
2
","
Gangnam Style
","

PSY

",2013
2,"
3
","
Thrift Shop
","
Macklemore & Ryan Lewis Featuring Wanz
",2013
3,"
4
","
Radioactive
","

Imagine Dragons

",2013
4,"
5
","
We Can't Stop
","

Miley Cyrus

",2013
5,"
6
","
Wrecking Ball
","

Miley Cyrus

",2013
6,"
7
","
Blurred Lines
","
Robin Thicke Featuring T.I. + Pharrell
",2013
7,"
8
","
Can't Hold Us
","
Macklemore & Ryan Lewis Featuring Ray Dalton
",2013
8,"
9
","
Started From The Bottom
","

Drake

",2013
9,"
10
","
Sail
","

AWOLNATION

",2013
10,"
11
","
Get Lucky
","
Daft Punk Featuring Pharrell Williams
",2013
11,"
12
","
When I Was Your Man
","

Bruno Mars

",2013
12,"
13
","
Roar
","

Katy Perry

",2013
13,"
14
","
The Way
","
Ariana Grande Featuring Mac Miller
",2013
14,"
15
","
Mirrors
","

Justin Timberlake

",2013
15,"
16
","
Love Me
","
Lil Wayne Featuring Drake & Future
",2013
16,"
17
","
Royals
","

Lorde

",2013
17,"
18
","
F**kin Problems
","
A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
",2013
18,"
19
","
U.O.E.N.O.
","
Rocko Featuring Future & Rick Ross
",2013
19,"
20
","
Just Give Me A Reason
","
P!nk Featuring Nate Ruess
",2013
20,"
21
","
Cups (Pitch Perfect's When I'm Gone)
","
Anna Kendrick
",2013
21,"
22
","
The Fox
","
Ylvis
",2013
22,"
23
","
Wake Me Up!
","

Avicii

",2013
23,"
24
","
Gentleman
","

PSY

",2013
24,"
25
","
Power Trip
","
J. Cole Featuring Miguel
",2013
25,"
26
","
Body Party
","

Ciara

",2013
26,"
27
","
Cruise
","

Florida Georgia Line

",2013
27,"
28
","
Come & Get It
","

Selena Gomez

",2013
28,"
29
","
Scream & Shout
","
will.i.am & Britney Spears
",2013
29,"
30
","
Bad
","
Wale Featuring Tiara Thomas Or Rihanna
",2013
30,"
31
","
Stay
","
Rihanna Featuring Mikky Ekko
",2013
31,"
32
","
Holy Grail
","
Jay Z Featuring Justin Timberlake
",2013
32,"
33
","
Call Me Maybe
","

Carly Rae Jepsen

",2013
33,"
34
","
Hold On, We're Going Home
","
Drake Featuring Majid Jordan
",2013
34,"
35
","
What Makes You Beautiful
","

One Direction

",2013
35,"
36
","
Suit & Tie
","
Justin Timberlake Featuring JAY Z
",2013
36,"
37
","
Best Song Ever
","

One Direction

",2013
37,"
38
","
I Knew You Were Trouble.
","

Taylor Swift

",2013
38,"
39
","
Applause
","

Lady Gaga

",2013
39,"
40
","
Ho Hey
","

The Lumineers

",2013
40,"
41
","
Locked Out Of Heaven
","

Bruno Mars

",2013
41,"
42
","
Treasure
","

Bruno Mars

",2013
42,"
43
","
It's Time
","

Imagine Dragons

",2013
43,"
44
","
Heart Attack
","

Demi Lovato

",2013
44,"
45
","
Beauty And A Beat
","
Justin Bieber Featuring Nicki Minaj
",2013
45,"
46
","
23
","
Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J
",2013
46,"
47
","
Clarity
","
Zedd Featuring Foxes
",2013
47,"
48
","
Red Nose
","

Sage The Gemini

",2013
48,"
49
","
Diamonds
","

Rihanna

",2013
49,"
50
","
I Love It
","
Icona Pop Featuring Charli XCX
",2013
50,"
51
","
22
","

Taylor Swift

",2013
51,"
52
","
Gas Pedal
","
Sage The Gemini Featuring IamSu!
",2013
52,"
53
","
Berzerk
","

Eminem

",2013
53,"
54
","
Summertime Sadness
","
Lana Del Rey & Cedric Gervais
",2013
54,"
55
","
Sweet Nothing
","
Calvin Harris Featuring Florence Welch
",2013
55,"
56
","
Safe And Sound
","

Capital Cities

",2013
56,"
57
","
Levitate
","
Hadouken!
",2013
57,"
58
","
Girl On Fire
","
Alicia Keys Featuring Nicki Minaj
",2013
58,"
59
","
Bugatti
","
Ace Hood Featuring Future & Rick Ross
",2013
59,"
60
","
Demons
","

Imagine Dragons

",2013
60,"
61
","
Feel This Moment
","
Pitbull Featuring Christina Aguilera
",2013
61,"
62
","
I Need Your Love
","
Calvin Harris Featuring Ellie Goulding
",2013
62,"
63
","
Type Of Way
","

Rich Homie Quan

",2013
63,"
64
","
Wop
","

J. Dash

",2013
64,"
65
","
Don't You Worry Child
","
Swedish House Mafia Featuring John Martin
",2013
65,"
66
","
Swimming Pools (Drank)
","

Kendrick Lamar

",2013
66,"
67
","
My Songs Know What You Did In The Dark (Light Em Up)
","

Fall Out Boy

",2013
67,"
68
","
Love More
","
Chris Brown Featuring Nicki Minaj
",2013
68,"
69
","
Poetic Justice
","
Kendrick Lamar Featuring Drake
",2013
69,"
70
","
Counting Stars
","

OneRepublic

",2013
70,"
71
","
Rich As F**k
","
Lil Wayne Featuring 2 Chainz
",2013
71,"
72
","
#Beautiful
","
Mariah Carey Featuring Miguel
",2013
72,"
73
","
My Hitta
","
YG Featuring Jeezy & Rich Homie Quan
",2013
73,"
74
","
Bitch, Don't Kill My Vibe
","

Kendrick Lamar

",2013
74,"
75
","
All Gold Everything
","

Trinidad James

",2013
75,"
1
","
Dark Horse
","
Katy Perry Featuring Juicy J
",2014
76,"
2
","
Fancy
","
Iggy Azalea Featuring Charli XCX
",2014
77,"
3
","
Happy
","

Pharrell Williams

",2014
78,"
4
","
All Of Me
","

John Legend

",2014
79,"
5
","
Let It Go
","

Idina Menzel

",2014
80,"
6
","
All About That Bass
","

Meghan Trainor

",2014
81,"
7
","
Problem
","
Ariana Grande Featuring Iggy Azalea
",2014
82,"
8
","
Talk Dirty
","
Jason Derulo Featuring 2 Chainz
",2014
83,"
9
","
Rude
","

MAGIC!

",2014
84,"
10
","
Timber
","
Pitbull Featuring Ke$ha
",2014
85,"
11
","
Turn Down For What
","
DJ Snake & Lil Jon
",2014
86,"
12
","
Anaconda
","

Nicki Minaj

",2014
87,"
13
","
Counting Stars
","

OneRepublic

",2014
88,"
14
","
Gangnam Style
","

PSY

",2014
89,"
15
","
Shake It Off
","

Taylor Swift

",2014
90,"
16
","
Wiggle
","
Jason Derulo Featuring Snoop Dogg
",2014
91,"
17
","
Wrecking Ball
","

Miley Cyrus

",2014
92,"
18
","
Chandelier
","

Sia

",2014
93,"
19
","
Loyal
","
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga
",2014
94,"
20
","
Hot Boy
","

Bobby Shmurda

",2014
95,"
21
","
Stay With Me
","

Sam Smith

",2014
96,"
22
","
Royals
","

Lorde

",2014
97,"
23
","
Habits (Stay High)
","

Tove Lo

",2014
98,"
24
","
Sail
","

AWOLNATION

",2014
99,"
25
","
Bang Bang
","
Jessie J, Ariana Grande & Nicki Minaj
",2014
100,"
26
","
Let Her Go
","

Passenger

",2014
101,"
27
","
The Monster
","

Eminem Featuring Rihanna

",2014
102,"
28
","
Say Something
","
A Great Big World & Christina Aguilera
",2014
103,"
29
","
Or Nah
","
Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
",2014
104,"
30
","
Pompeii
","

Bastille

",2014
105,"
31
","
Black Widow
","
Iggy Azalea Featuring Rita Ora
",2014
106,"
32
","
Break Free
","
Ariana Grande Featuring Zedd
",2014
107,"
33
","
Drunk In Love
","
Beyonce Featuring Jay Z
",2014
108,"
34
","
Shower
","

Becky G

",2014
109,"
35
","
Radioactive
","

Imagine Dragons

",2014
