Rank,Title,Artist,Year
1,Need You Now,Lady Antebellum,2010
2,OMG,Usher Featuring will.i.am,2010
3,TiK ToK,Ke$ha,2010
4,California Gurls,Katy Perry Featuring Snoop Dogg,2010
5,Nothin' On You,B.o.B Featuring Bruno Mars,2010
6,"Hey, Soul Sister",Train,2010
7,Airplanes,B.o.B Featuring Hayley Williams,2010
8,Bad Romance,Lady Gaga,2010
9,Love The Way You Lie,Eminem Featuring Rihanna,2010
10,Dynamite,Taio Cruz,2010
11,Rude Boy,Rihanna,2010
12,Break Your Heart,Taio Cruz Featuring Ludacris,2010
13,Sexy Chick,David Guetta Featuring Akon ,2010
14,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010
15,I Like It,Enrique Iglesias Featuring Pitbull,2010
16,BedRock,Young Money Featuring Lloyd,2010
17,Find Your Love,Drake,2010
18,Cooler Than Me,Mike Posner,2010
19,In My Head,Jason Derulo,2010
20,Say Aah,Trey Songz Featuring Fabolous,2010
21,Breakeven,The Script,2010
22,Just The Way You Are,Bruno Mars,2010
23,Telephone,Lady Gaga Featuring Beyonce,2010
24,Empire State Of Mind,Jay-Z + Alicia Keys,2010
25,Teenage Dream,Katy Perry,2010
26,Replay,Iyaz,2010
27,Billionaire,Travie McCoy Featuring Bruno Mars,2010
28,Imma Be,The Black Eyed Peas,2010
29,Your Love Is My Drug,Ke$ha,2010
30,Alejandro,Lady Gaga,2010
31,How Low,Ludacris,2010
32,Haven't Met You Yet,Michael Buble,2010
33,I Gotta Feeling,The Black Eyed Peas,2010
34,Whatcha Say,Jason Derulo,2010
35,Un-Thinkable (I'm Ready),Alicia Keys,2010
36,Down,Jay Sean Featuring Lil Wayne,2010
37,You Belong With Me,Taylor Swift,2010
38,Mine,Taylor Swift,2010
39,Carry Out,Timbaland Featuring Justin Timberlake,2010
40,Just A Dream,Nelly,2010
41,Over,Drake,2010
42,Bottoms Up,Trey Songz Featuring Nicki Minaj,2010
43,Deuces,Chris Brown Featuring Tyga & Kevin McCall,2010
44,Bulletproof,La Roux,2010
45,There Goes My Baby,Usher,2010
46,Whataya Want From Me,Adam Lambert,2010
47,Fireflies,Owl City,2010
48,Say Something,Timbaland Featuring Drake,2010
49,Your Love,Nicki Minaj,2010
50,According To You,Orianthi,2010
51,Already Gone,Kelly Clarkson,2010
52,Like A G6,Far*East Movement Featuring Cataracs & Dev,2010
53,Ridin' Solo,Jason Derulo,2010
54,Live Like We're Dying,Kris Allen,2010
55,Hey Daddy (Daddy's Home),Usher Featuring Plies,2010
56,My Chick Bad,Ludacris Featuring Nicki Minaj,2010
57,Only Girl (In The World),Rihanna,2010
58,Club Can't Handle Me,Flo Rida Featuring David Guetta,2010
59,Hard,Rihanna Featuring Jeezy,2010
60,Not Afraid,Eminem,2010
61,Tie Me Down,New Boyz Featuring Ray J,2010
62,Misery,Maroon 5,2010
63,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,2010
64,Sweet Dreams,Beyonce,2010
65,Paparazzi,Lady Gaga,2010
66,It Kills Me,Melanie Fiona,2010
67,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",2010
68,Animal,Neon Trees,2010
69,I Invented Sex, Trey Songz Featuring Drake,2010
70,Use Somebody,Kings Of Leon,2010
71,3,Britney Spears,2010
72,Everything To Me,Monica,2010
73,All About Tonight,Blake Shelton,2010
74,Neighbors Know My Name,Trey Songz,2010
75,Meet Me Halfway,The Black Eyed Peas,2010
1,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2011
2,Rolling In The Deep,Adele,2011
3,Firework,Katy Perry,2011
4,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,2011
5,E.T.,Katy Perry Featuring Kanye West,2011
6,Grenade ,Bruno Mars,2011
7,Just The Way You Are,Bruno Mars,2011
8,Super Bass,Nicki Minaj,2011
9,Just Can't Get Enough,The Black Eyed Peas,2011
10,Last Friday Night (T.G.I.F.),Katy Perry,2011
11,What's My Name?,Rihanna Featuring Drake,2011
12,Raise Your Glass,P!nk,2011
13,F**kin' Perfect,P!nk,2011
14,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,2011
16,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,2011
17,How To Love,Lil Wayne,2011
18,Good Life,OneRepublic,2011
19,Only Girl (In The World),Rihanna,2011
20,Down On Me,Jeremih Featuring 50 Cent,2011
21,S&M,Rihanna,2011
22,On The Floor,Jennifer Lopez Featuring Pitbull,2011
23,The Edge Of Glory,Lady Gaga,2011
24,Lighters,Bad Meets Evil Featuring Bruno Mars,2011
25,Till The World Ends,Britney Spears,2011
26,Someone Like You,Adele,2011
27,Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,2011
28,Moment 4 Life,Nicki Minaj Featuring Drake,2011
29,Pumped Up Kicks,Foster The People,2011
30,The Lazy Song,Bruno Mars,2011
31,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2011
