Song Rank,Song Title,Song Artist,Song Year
1,Harlem Shake,Baauer,2013
2,Gangnam Style,PSY,2013
3,Thrift Shop,Macklemore & Ryan Lewis Featuring Wanz,2013
4,Radioactive,Imagine Dragons,2013
5,We Can't Stop,Miley Cyrus,2013
6,Wrecking Ball,Miley Cyrus,2013
7,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,2013
8,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2013
9,Started From The Bottom,Drake,2013
10,Sail,AWOLNATION,2013
11,Get Lucky,Daft Punk Featuring Pharrell Williams,2013
12,When I Was Your Man,Bruno Mars,2013
13,Roar,Katy Perry,2013
14,The Way,Ariana Grande Featuring Mac Miller,2013
15,Mirrors,Justin Timberlake,2013
16,Love Me,Lil Wayne Featuring Drake & Future,2013
17,Royals,Lorde,2013
18,F**kin Problems,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",2013
19,U.O.E.N.O.,Rocko Featuring Future & Rick Ross,2013
20,Just Give Me A Reason,P!nk Featuring Nate Ruess,2013
21,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2013
22,The Fox,Ylvis,2013
23,Wake Me Up!,Avicii,2013
24,Gentleman,PSY,2013
25,Power Trip,J. Cole Featuring Miguel,2013
26,Body Party,Ciara,2013
27,Cruise,Florida Georgia Line,2013
28,Come & Get It,Selena Gomez,2013
29,Scream & Shout,will.i.am & Britney Spears,2013
30,Bad,Wale Featuring Tiara Thomas Or Rihanna,2013
31,Stay,Rihanna Featuring Mikky Ekko,2013
32,Holy Grail,Jay Z Featuring Justin Timberlake,2013
33,Call Me Maybe,Carly Rae Jepsen,2013
34,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2013
35,What Makes You Beautiful,One Direction,2013
36,Suit & Tie,Justin Timberlake Featuring JAY Z,2013
37,Best Song Ever,One Direction,2013
38,I Knew You Were Trouble.,Taylor Swift,2013
39,Applause,Lady Gaga,2013
40,Ho Hey,The Lumineers,2013
41,Locked Out Of Heaven,Bruno Mars,2013
42,Treasure,Bruno Mars,2013
43,It's Time,Imagine Dragons,2013
44,Heart Attack,Demi Lovato,2013
45,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,2013
46,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2013
47,Clarity,Zedd Featuring Foxes,2013
48,Red Nose,Sage The Gemini,2013
49,Diamonds,Rihanna,2013
50,I Love It,Icona Pop Featuring Charli XCX,2013
51,22,Taylor Swift,2013
52,Gas Pedal,Sage The Gemini Featuring IamSu!,2013
53,Berzerk,Eminem,2013
54,Summertime Sadness,Lana Del Rey & Cedric Gervais,2013
55,Sweet Nothing,Calvin Harris Featuring Florence Welch,2013
56,Safe And Sound,Capital Cities,2013
57,Levitate,Hadouken!,2013
58,Girl On Fire,Alicia Keys Featuring Nicki Minaj,2013
59,Bugatti,Ace Hood Featuring Future & Rick Ross,2013
60,Demons,Imagine Dragons,2013
61,Feel This Moment,Pitbull Featuring Christina Aguilera,2013
62,I Need Your Love,Calvin Harris Featuring Ellie Goulding,2013
63,Type Of Way,Rich Homie Quan,2013
64,Wop,J. Dash,2013
65,Don't You Worry Child,Swedish House Mafia Featuring John Martin,2013
66,Swimming Pools (Drank),Kendrick Lamar,2013
67,My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy,2013
68,Love More,Chris Brown Featuring Nicki Minaj,2013
69,Poetic Justice,Kendrick Lamar Featuring Drake,2013
70,Counting Stars,OneRepublic,2013
71,Rich As F**k,Lil Wayne Featuring 2 Chainz,2013
72,#Beautiful,Mariah Carey Featuring Miguel,2013
73,My Hitta,YG Featuring Jeezy & Rich Homie Quan,2013
74,"Bitch, Don't Kill My Vibe",Kendrick Lamar,2013
75,All Gold Everything,Trinidad James,2013
1,Dark Horse,Katy Perry Featuring Juicy J,2014
2,Fancy,Iggy Azalea Featuring Charli XCX,2014
3,Happy,Pharrell Williams,2014
4,All Of Me,John Legend,2014
5,Let It Go,Idina Menzel,2014
6,All About That Bass,Meghan Trainor,2014
7,Problem,Ariana Grande Featuring Iggy Azalea,2014
8,Talk Dirty,Jason Derulo Featuring 2 Chainz,2014
9,Rude,MAGIC!,2014
10,Timber,Pitbull Featuring Ke$ha,2014
11,Turn Down For What,DJ Snake & Lil Jon,2014
12,Anaconda,Nicki Minaj,2014
13,Counting Stars,OneRepublic,2014
14,Gangnam Style,PSY,2014
15,Shake It Off,Taylor Swift,2014
16,Wiggle,Jason Derulo Featuring Snoop Dogg,2014
17,Wrecking Ball,Miley Cyrus,2014
18,Chandelier,Sia,2014
19,Loyal,Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,2014
20,Hot Boy,Bobby Shmurda,2014
21,Stay With Me,Sam Smith,2014
22,Royals,Lorde,2014
23,Habits (Stay High),Tove Lo,2014
24,Sail,AWOLNATION,2014
25,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2014
26,Let Her Go,Passenger,2014
27,The Monster,Eminem Featuring Rihanna,2014
28,Say Something,A Great Big World & Christina Aguilera,2014
29,Or Nah,Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard,2014
30,Pompeii,Bastille,2014
31,Black Widow,Iggy Azalea Featuring Rita Ora,2014
32,Break Free,Ariana Grande Featuring Zedd,2014
33,Drunk In Love,Beyonce Featuring Jay Z,2014
34,Shower,Becky G,2014
35,Radioactive,Imagine Dragons,2014
36,My Hitta,YG Featuring Jeezy & Rich Homie Quan,2014
37,Am I Wrong,Nico & Vinz,2014
38,Summer,Calvin Harris,2014
39,Wake Me Up!,Avicii,2014
40,Lifestyle,Rich Gang Featuring Young Thug & Rich Homie Quan,2014
41,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,2014
42,Rather Be,Clean Bandit Featuring Jess Glynne,2014
43,Story Of My Life,One Direction,2014
44,Maps,Maroon 5,2014
45,Roar,Katy Perry,2014
46,Rap God,Eminem,2014
47,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",2014
48,Show Me,Kid Ink Featuring Chris Brown,2014
49,Demons,Imagine Dragons,2014
50,Team,Lorde,2014
51,Can't Hold Us,Macklemore & Ryan Lewis Featuring Ray Dalton,2014
52,Na Na,Trey Songz,2014
53,Classic,MKTO,2014
54,Burn,Ellie Goulding,2014
55,Can't Remember To Forget You,Shakira Featuring Rihanna,2014
56,Boom Clap,Charli XCX,2014
57,Animals,Martin Garrix,2014
58,We Dem Boyz,Wiz Khalifa,2014
59,Animals,Maroon 5,2014
60,This Is How We Do,Katy Perry,2014
61,No Flex Zone,Rae Sremmurd,2014
62,Latch,Disclosure Featuring Sam Smith,2014
63,Work,Iggy Azalea,2014
64,Let It Go,Demi Lovato,2014
65,New Flame,Chris Brown Featuring Usher & Rick Ross,2014
66,The Man,Aloe Blacc,2014
67,She Looks So Perfect,5 Seconds Of Summer,2014
68,2 On,Tinashe Featuring ScHoolboy Q,2014
69,"Hold On, We're Going Home",Drake Featuring Majid Jordan,2014
70,Adore You,Miley Cyrus,2014
71,Don't Tell 'Em,Jeremih Featuring YG,2014
72,Cool Kids,Echosmith,2014
73,Hey Brother,Avicii,2014
74,Trumpets,Jason Derulo,2014
75,Don't,Ed Sheeran,2014
1,Trap Queen,Fetty Wap,2015
2,Uptown Funk!,Mark Ronson Featuring Bruno Mars,2015
3,Watch Me,Silento,2015
4,See You Again,Wiz Khalifa Featuring Charlie Puth,2015
5,Thinking Out Loud,Ed Sheeran,2015
6,The Hills,The Weeknd,2015
7,Sugar,Maroon 5,2015
8,Earned It (Fifty Shades Of Grey),The Weeknd,2015
9,Cheerleader,OMI,2015
10,Can't Feel My Face,The Weeknd,2015
11,679,Fetty Wap Featuring Remy Boyz,2015
12,Shake It Off,Taylor Swift,2015
13,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,2015
14,Lean On,Major Lazer & DJ Snake Featuring MO,2015
15, Blank Space,Taylor Swift,2015
16,Where Are U Now,Skrillex & Diplo With Justin Bieber,2015
17,All About That Bass,Meghan Trainor,2015
18,Take Me To Church,Hozier,2015
19,Love Me Like You Do,Ellie Goulding,2015
20,Hotline Bling,Drake,2015
21,Nasty Freestyle,T-Wayne,2015
22,What Do You Mean?,Justin Bieber,2015
23,Worth It,Fifth Harmony Featuring Kid Ink,2015
24,Gangnam Style,PSY,2015
25,No Type,Rae Sremmurd,2015
26,My Way,Fetty Wap Featuring Monty ,2015
27,Good For You,Selena Gomez Featuring A$AP Rocky,2015
28,7/11,Beyonce,2015
29,Hot Boy,Bobby Shmurda,2015
30,I Don't F**k With You,Big Sean Featuring E-40,2015
31,Shut Up And Dance,WALK THE MOON,2015
32,Hello,Adele,2015
33,Only,"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",2015
34,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,2015
35,Bad Blood,Taylor Swift Featuring Kendrick Lamar,2015
36,Flex (Ooh Ooh Ooh),Rich Homie Quan,2015
37,Lips Are Movin,Meghan Trainor,2015
38,Chandelier,Sia,2015
39,B**** Better Have My Money,Rihanna,2015
40,Elastic Heart,Sia,2015
41,I'm Not The Only One,Sam Smith,2015
42,Stitches,Shawn Mendes,2015
43,Hit The Quan,iLoveMemphis,2015
44,Let It Go,Idina Menzel,2015
45,Often,The Weeknd,2015
46,CoCo,O.T. Genasis,2015
47,Slow Motion,Trey Songz,2015
48,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",2015
49,Centuries,Fall Out Boy,2015
50,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj,2015
51,Want To Want Me,Jason Derulo,2015
52,Love Me Harder,Ariana Grande & The Weeknd,2015
53,Blessings,Big Sean Featuring Drake,2015
54,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",2015
55,Somebody,Natalie La Rose Featuring Jeremih,2015
56,Locked Away,R. City Featuring Adam Levine,2015
57,Classic Man,Jidenna Featuring Roman GianArthur,2015
58,Dear Future Husband,Meghan Trainor,2015
59,Jumpman,Drake & Future,2015
60,Drag Me Down,One Direction,2015
61,Tuesday,I LOVE MAKONNEN Featuring Drake,2015
62,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,2015
63,I Don't Mind,Usher Featuring Juicy J,2015
64,Photograph,Ed Sheeran,2015
65,Stay With Me,Sam Smith,2015
66,Back To Back,Drake,2015
67,Fight Song,Rachel Platten,2015
68,Cool For The Summer,Demi Lovato,2015
69,Jealous,Nick Jonas,2015
70,The Heart Wants What It Wants,Selena Gomez,2015
71,Again,Fetty Wap,2015
72,Energy,Drake,2015
73,One Last Time,Ariana Grande,2015
74,Where Ya At,Future Featuring Drake,2015
75,You Know You Like It,DJ Snake & AlunaGeorge,2015
1,Panda,Desiigner,2016
2,Work,Rihanna Featuring Drake,2016
3,Sorry,Justin Bieber,2016
4,One Dance,Drake Featuring WizKid & Kyla,2016
5,Needed Me,Rihanna,2016
6,Love Yourself,Justin Bieber,2016
7,Closer,The Chainsmokers Featuring Halsey,2016
8,Stressed Out,twenty one pilots,2016
9,Don't Let Me Down,The Chainsmokers Featuring Daya,2016
10,Hello,Adele,2016
11,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016
12,Don't,Bryson Tiller,2016
13,Low Life,Future Featuring The Weeknd,2016
14,7 Years,Lukas Graham,2016
15,"Me, Myself & I",G-Eazy x Bebe Rexha,2016
16,Hotline Bling,Drake,2016
17,Heathens,twenty one pilots,2016
18,This Is What You Came For,Calvin Harris Featuring Rihanna,2016
19,I Took A Pill In Ibiza,Mike Posner,2016
20,Cheap Thrills,Sia Featuring Sean Paul,2016
21,What Do You Mean?,Justin Bieber,2016
22,Exchange,Bryson Tiller,2016
23,Pillowtalk,Zayn,2016
24,Broccoli,D.R.A.M. Featuring Lil Yachty,2016
25,Cold Water,Major Lazer Featuring Justin Bieber & MO,2016
